command,purpose
secadm credentials,no command mandatory parameters
secadm credentials create,no command mandatory parameters
secadm credentials create -sn netsim -n LTE50SGSN00003,credentials create missing mandatory parameter
secadm credentials create -sn netsim -xx netsim -n somenodename,credentials create unknown replacement parameter --xx
secadm credentials create -sn netsim -sp netsim -xx netsim -n somenodename,credentials create unknown extra parameter --xx
secadm credentials create -sn netsim -sp netsim -sn netsim -n somenodename,credentials create duplicate parameter short version
secadm credentials create --secureuserpassword netsim --secureusername netsim --secureusername netsim --nodelist somenodename,credentials create duplicate parameter long version
secadm credentials create -sn -sp netsim -n somenodename,credentials create missing value for parameter --sn
secadm credentials create -sn netsim -sp netsim,credentials create missing nodelist or nodefile parameter
secadm credentials create -sn netsim -sp netsim -n,credentials create missing value for --nodelist short version -n
secadm credentials create -rn netsim -sn netsim -sp -n somenodename,credentials create missing value for password --sp
secadm credentials create -sn netsim -sp netsim -nf,credentials create missing value for --nodefile -nf
secadm credentials create -sp netsim netsim -sn netsim -n somenodename, credentials create 2 values supplied for a password
"secadm credentials create -sn netsim -sp netsim -n NetworkElement=somenodename;somenodename;MeContext=somenodename",credentials create invalid node separators
"secadm credentials create -sn netsim -sp netsim -n NetworkElement=somenodename,somenodename1,MeContext=somenodename2,",credentials create extra comma at end
"secadm credentials create -sn netsim -sp netsim -n NetworkElement=somenodename,somenodename1,,,,MeContext=somenodename2,",credentials create  lots of commas between nodes
secadm credentials create -n NetworkElement=somenodename -sn netsim -sp netsim,credentials create Order of parameters
